"Date","Time","Test Total Time",,
"03/04/24","16:41:04","(hh:mm:ss): 2:39:58",,
,,,,
"Rated Capacity","Tested Capacity",,,
"15.30 Ah","8.00 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","AGM","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.000 Amps","Minutes",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Miscanthus-12A-3-4-2024","83.000","12.657","3.000","999.90"
"Miscanthus-12A-3-4-2024","84.000","12.661","3.000","999.90"
"Miscanthus-12A-3-4-2024","85.000","12.661","3.000","999.90"
"Miscanthus-12A-3-4-2024","86.000","12.661","3.000","999.90"
"Miscanthus-12A-3-4-2024","87.000","12.661","3.000","999.90"
"Miscanthus-12A-3-4-2024","88.000","12.661","3.000","999.90"
"Miscanthus-12A-3-4-2024","89.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","90.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","91.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","92.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","93.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","94.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","95.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","96.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","97.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","98.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","99.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","100.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","101.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","102.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","103.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","104.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","105.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","106.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","107.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","108.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","109.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","110.000","12.665","3.000","999.90"
